time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
0.0,0.755787,1.00025,0.0441842,1.00025,120725,130133,359.146,373.487,391.963,50,50,5285.1,5427.55,8.51251,5.69263,6.88942,0.979024,0.979378,733.924,127.859,5.69263,6.88942,137695
2.0,0.756175,0.999868,0.0443261,0.999868,121484,130492,359.366,374.081,392.066,50.1632,50.0566,5350.24,5427.55,8.51251,5.53129,6.90129,0.978825,0.97937,323.252,128.26,5.53129,6.90129,138050
4.0,0.757053,0.999901,0.0444356,0.999901,122251,130987,359.583,374.461,392.206,50.2435,49.9807,5419.76,5427.55,8.51251,5.64478,6.89727,0.978798,0.979355,175.184,129.266,5.64478,6.89727,138544
6.0,0.757749,1.00006,0.0444971,1.00006,123017,131561,359.797,374.66,392.369,50.4232,49.987,5491.23,5427.55,8.51251,5.06864,6.90578,0.978811,0.979334,149.187,130.46,5.06864,6.90578,139117
8.0,0.757712,1.00042,0.0445131,1.00042,123782,132165,360.011,374.708,392.539,50.5688,50.0185,5563.99,5427.55,8.51251,5.82993,6.9185,0.978816,0.979305,146.656,130.555,5.82993,6.9185,139722
10.0,0.757526,1.00078,0.0445001,1.00078,124549,132726,360.224,374.663,392.696,50.5689,50.0939,5638.11,5427.55,8.51251,5.79899,6.93673,0.978827,0.97927,148.474,130.136,5.79899,6.93673,140284
12.0,0.757459,1.00104,0.0444838,1.00104,125316,133183,360.436,374.598,392.823,50.5385,50.1676,5713.64,5427.55,8.51251,5.81824,6.95329,0.978839,0.97923,152.534,130.009,5.81824,6.95329,140742
14.0,0.757604,1.00116,0.0444819,1.00116,126083,133502,360.647,374.566,392.911,50.5318,50.2251,5790.56,5427.55,8.51251,5.57996,6.9656,0.978854,0.979187,156.56,129.977,5.57996,6.9656,141060
16.0,0.758365,1.00097,0.0445038,1.00097,126849,133694,360.857,374.588,392.963,50.5677,50.2534,5868.84,5427.55,8.51251,5.64396,6.97177,0.978877,0.979148,160.644,130.791,5.64396,6.97177,141251
18.0,0.759171,1.00059,0.0445498,1.00059,127614,133819,361.065,374.664,392.997,50.7279,50.2185,5948.4,5427.55,8.51251,5.72294,6.96805,0.978901,0.979111,163.227,131.739,5.72294,6.96805,141373
