time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
0.0,1.35998E-05,3.03556E-05,0.001,3.03556E-05,101325,101342,298.15,298.15,315.596,0,0,5285.1,5427.55,8.51251,0,0,0.5,0.5,0,0,0,0,101342
2.0,1.35998E-05,6.62858E-05,0.001,6.62858E-05,101325,101361,298.15,298.15,306.156,0,0,3607.22,0,8.51251,0,0,0.5,0.5,0,0,0,0,101362
4.0,1.35998E-05,0.000102218,0.001,0.000102218,101325,101386,298.15,298.15,303.345,0,0,3574.32,0,8.51251,0,0,0.5,0.5,0,0,0,0,101387
6.0,1.35998E-05,0.000138151,0.001,0.000138151,101325,101418,298.15,298.15,301.995,0,0,3541.42,0,8.51251,0,0,0.5,0.5,0,0,0,0,101419
8.0,1.35998E-05,0.000174084,0.001,0.000174084,101325,101456,298.15,298.15,301.202,0,0,3508.52,0,8.51251,0,0,0.5,0.5,0,0,0,0,101457
10.0,1.35998E-05,0.000210017,0.001,0.000210017,101325,101496,298.15,298.15,300.68,0,0,3475.62,0,8.51251,0,0,0.5,0.5,0,0,0,0,101498
12.0,1.35998E-05,0.00024595,0.001,0.00024595,101325,101538,298.15,298.15,300.311,0,0,3442.72,0,8.51251,0,0,0.5,0.5,0,0,0,0,101540
14.0,1.35998E-05,0.000281883,0.001,0.000281883,101325,101579,298.15,298.15,300.036,0,0,3409.82,0,8.51251,0,0,0.5,0.5,0,0,0,0,101581
16.0,1.35998E-05,0.000317816,0.001,0.000317816,101325,101619,298.15,298.15,299.822,0,0,3376.92,0,8.51251,0,0,0.5,0.5,0,0,0,0,101621
18.0,1.35998E-05,0.00035375,0.001,0.00035375,101325,101657,298.15,298.15,299.653,0,0,3344.02,0,8.51251,0,0,0.5,0.5,0,0,0,0,101660
20.0,1.35998E-05,0.000389684,0.001,0.000389684,101325,101696,298.15,298.15,299.514,0,0,3311.12,0,8.51251,0,0,0.5,0.5,0,0,0,0,101699
22.0,1.35998E-05,0.000425618,0.001,0.000425618,101325,101734,298.15,298.15,299.399,0,0,3278.22,0,8.51251,0,0,0.5,0.5,0,0,0,0,101737
24.0,1.35998E-05,0.000461553,0.000999999,0.000461553,101325,101772,298.15,298.15,299.302,0,0,3245.32,0,8.51251,0,0,0.5,0.5,0,0,0,0,101776
26.0,1.35998E-05,0.00049749,0.000999999,0.00049749,101325,101809,298.15,298.15,299.22,0,0,3212.42,0,8.51251,0,0,0.5,0.5,0,0,0,0,101814
28.0,1.35998E-05,0.00053343,0.000999998,0.00053343,101325,101847,298.15,298.15,299.149,0,0,3179.52,0,8.51251,0,0,0.5,0.5,0,0,0,0,101851
30.0,1.35998E-05,0.000569373,0.000999997,0.000569373,101325,101883,298.15,298.15,299.087,0,0,3146.62,0,8.51251,0,0,0.5,0.5,0,0,0,0,101888
32.0,1.35998E-05,0.000605323,0.000999996,0.000605323,101325,101920,298.15,298.15,299.033,0,0,3113.72,0,8.51251,0,0,0.5,0.5,0,0,0,0,101925
34.0,1.35998E-05,0.000641281,0.000999994,0.000641281,101325,101956,298.15,298.15,298.986,0,0,3080.82,0,8.51251,0,0,0.5,0.5,0,0,0,0,101962
36.0,1.35998E-05,0.000677252,0.000999991,0.000677252,101325,101993,298.15,298.15,298.946,0,0,3047.92,0,8.51251,0,0,0.5,0.5,0,0,0,0,101999
38.0,1.35998E-05,0.000713241,0.000999987,0.000713241,101325,102030,298.15,298.15,298.911,0,0,3015.02,0,8.51251,0,0,0.5,0.5,0,0,0,0,102036
40.0,1.35998E-05,0.000749254,0.000999981,0.000749254,101325,102067,298.15,298.15,298.882,0,0,2982.12,0,8.51251,0,0,0.5,0.5,0,0,0,0,102074
42.0,1.35998E-05,0.000785301,0.000999974,0.000785301,101325,102105,298.15,298.15,298.859,0,0,2949.22,0,8.51251,0,0,0.5,0.5,0,0,0,0,102112
44.0,1.35998E-05,0.000821394,0.000999965,0.000821394,101325,102142,298.15,298.15,298.841,0,0,2916.32,0,8.51251,0,0,0.5,0.5,0,0,0,0,102149
46.0,1.35998E-05,0.000857547,0.000999954,0.000857547,101325,102179,298.15,298.15,298.83,0,0,2883.42,0,8.51251,0,0,0.5,0.5,0,0,0,0,102187
48.0,1.35998E-05,0.000893781,0.00099994,0.000893781,101325,102216,298.15,298.15,298.826,0,0,2850.52,0,8.51251,0,0,0.5,0.500001,0,0,0,0,102223
50.0,1.35998E-05,0.000930121,0.000999922,0.000930121,101325,102252,298.15,298.15,298.83,0,0,2817.62,0,8.51251,0,0,0.5,0.500001,0,0,0,0,102260
52.0,1.35998E-05,0.000966601,0.000999901,0.000966601,101325,102288,298.15,298.15,298.844,0,0,2784.72,0,8.51251,0,0,0.5,0.500001,0,0,0,0,102297
54.0,1.35998E-05,0.00100326,0.000999874,0.00100326,101325,102326,298.15,298.15,298.868,0,0,2751.82,0,8.51251,0,0,0.5,0.500002,0,0,0,0,102334
56.0,1.35998E-05,0.00104015,0.000999842,0.00104015,101325,102363,298.15,298.15,298.907,0,0,2718.92,0,8.51251,0,0,0.5,0.500003,0,0,0,0,102372
58.0,1.35998E-05,0.00107733,0.000999805,0.00107733,101325,102401,298.15,298.15,298.961,0,0,2686.02,0,8.51251,0,0,0.5,0.500004,0,0,0,0,102410
60.0,1.35998E-05,0.0011149,0.00099976,0.0011149,101325,102438,298.15,298.15,299.035,0,0,2653.12,0,8.51251,0,0,0.5,0.500005,0,0,0,0,102448
62.0,1.35998E-05,0.00115296,0.000999707,0.00115296,101325,102475,298.15,298.15,299.132,0,0,2620.22,0,8.51251,0,0,0.5,0.500007,0,0,0,0,102485
64.0,1.35998E-05,0.00119163,0.000999645,0.00119163,101325,102512,298.15,298.15,299.259,0,0,2587.32,0,8.51251,0,0,0.5,0.500009,0,0,0,0,102522
66.0,1.35998E-05,0.00123111,0.000999573,0.00123111,101325,102548,298.15,298.15,299.42,0,0,2554.42,0,8.51251,0,0,0.5,0.500012,0,0,0,0,102558
68.0,1.35998E-05,0.00127157,0.00099949,0.00127157,101325,102584,298.15,298.15,299.624,0,0,2521.52,0,8.51251,0,0,0.5,0.500016,0,0,0,0,102595
70.0,1.35998E-05,0.00131327,0.000999395,0.00131327,101325,102621,298.15,298.15,299.877,0,0,2488.62,0,8.51251,0,0,0.5,0.500021,0,0,0,0,102632
72.0,1.35998E-05,0.00135654,0.000999286,0.00135654,101325,102659,298.15,298.15,300.191,0,0,2455.72,0,8.51251,0,0,0.5,0.500027,0,0,0,0,102670
74.0,1.35998E-05,0.00140179,0.000999162,0.00140179,101325,102696,298.15,298.15,300.578,0,0,2422.82,0,8.51251,0,0,0.5,0.500035,0,0,0,0,102708
76.0,1.35998E-05,0.00144959,0.00101006,0.00144959,101325,102734,298.15,300.717,301.053,0,0,2389.92,0,8.51251,0,0,0.5,0.500045,0,0,0,0,102746
78.0,1.35998E-05,0.00150062,0.0010404,0.00150062,101325,102771,298.15,307.501,301.636,0,0,2357.02,0,8.51251,0,0,0.5,0.500057,0,0,0,0,102783
80.0,1.35998E-05,0.00155572,0.00108338,0.00155572,101325,102807,298.15,316.402,302.346,0,0,2324.12,0,8.51251,0,0,0.5,0.500073,0,0,0,0,102820
82.0,1.35998E-05,0.00161584,0.00113465,0.00161584,101325,102843,298.15,326.074,303.199,0,0,2291.22,0,8.51251,0,0,0.5,0.500092,0,0,0,0,102857
84.0,1.35998E-05,0.00168204,0.00119137,0.00168204,101325,102879,298.15,335.751,304.212,0,0,2258.32,0,8.51251,0,0,0.5,0.500115,0,0,0,0,102893
